snr_db,model,actual_snr_db,perturb_idx,d3_rms_mean_m,d3_rms_std_m,d3_rms_min_m,d3_rms_max_m,gain_mean_pct,gain_std_pct,rep_n,model_order
10.0,baseline,30.0,2,22.669439225624625,10.33071280363654,12.87591053591746,33.46440023421636,0.0,0.0,3,0
10.0,Hatch,30.0,2,39.44359005976977,7.662517205876463,31.88641701936978,47.20727653586064,-73.99455569762976,53.83656059394557,3,1
10.0,Huber,30.0,2,19.96235949976549,9.086320452025678,10.841705889812218,29.01395312517652,11.94153811621048,4.227940631198661,3,2
10.0,GRU,30.0,2,18.01793718412702,12.185264156593664,4.4321938702645625,27.98119470453724,20.518822698709428,34.078243013677536,3,3
10.0,TCN,30.0,2,17.027732061559583,10.465996019533716,8.65534288081001,28.76140286822324,24.88684041944841,12.186567302381585,3,4
10.0,MSTCN,30.0,2,15.521016846035602,11.53395025175492,5.38404913284547,28.07037114638673,31.533300442247963,21.076927881278905,3,5
10.0,NavTCN,30.0,2,15.22510204715919,3.909514095691896,12.878731230116154,19.738228840811622,32.83864723945467,24.369384018768397,3,6
20.0,baseline,10.0,0,19.45079296044376,10.884671014159236,11.476749445734631,31.85131788863164,0.0,0.0,3,0
20.0,Hatch,10.0,0,45.37180166418751,17.65930710126427,25.31656716514268,58.59187943625428,-133.2645345434409,198.8068818971701,3,1
20.0,Huber,10.0,0,15.76421705060151,9.212385013711655,9.436472414817633,26.333342470791195,18.953345076159525,18.806942608663626,3,2
20.0,GRU,10.0,0,14.771892582790125,2.987754562272137,11.579968031385809,17.50160552243243,24.05506236773438,26.674763365755204,3,3
20.0,TCN,10.0,0,22.201272567298503,10.603450725904557,10.71717330024875,31.62024554991515,-14.140706820787608,37.750401984833445,3,4
20.0,MSTCN,10.0,0,20.31063225236493,7.920604261892865,11.189983976977503,25.459431666531373,-4.420587344021333,42.99836794779434,3,5
20.0,NavTCN,10.0,0,11.641043785891364,5.117345382135216,6.978892190202704,17.116238002970867,40.15131511828205,25.807977227451588,3,6
30.0,baseline,20.0,1,9.651575847703212,1.752213078863497,8.184398268978837,11.591727166778078,0.0,0.0,3,0
30.0,Hatch,20.0,1,49.37712480756716,25.007415936886485,32.83410218353571,78.14539570947981,-411.5965059666132,156.5734112894599,3,1
30.0,Huber,20.0,1,8.297086778476736,2.034861125238358,6.398150939937969,10.444966901389389,14.033864423795666,6.306936017856378,3,2
30.0,GRU,20.0,1,8.69287556735595,3.188792194219706,5.3283479684936665,11.67065516572087,9.933095853724284,32.681102579094045,3,3
30.0,TCN,20.0,1,10.471784422649138,5.885299405445539,6.457417234752239,17.227693229988038,-8.49818296916883,38.808937359977136,3,4
30.0,MSTCN,20.0,1,11.674443332221957,2.975605031278978,8.239257612443334,13.454081378423677,-20.9589347526096,37.028555802122646,3,5
30.0,NavTCN,20.0,1,8.105602890261176,4.237414312738292,5.431580288145942,12.991259341278422,16.01782943880539,27.03209668455476,3,6
